Section,Title,Summary
Science,"After Your Death, Who Takes Care of the Dog?","A pet trust designates a new guardian for companion animals and sets aside funds for their care. Better yet, it’s legally binding."
Science,Viewfinders Make Fall Foliage Pop for the Colorblind in Virginia,Specialized viewfinders installed across state parks let visitors with red-green colorblindness see more distinct colors.
Science,Biden Officials Stave Off Sticker Shock on Medicare Drug Premiums,Federal regulators spent billions of dollars to avoid a spike in costs for older Americans that could have been politically damaging to the presidential campaign of Vice President Kamala Harris.
Science,Possible Cluster of Human Bird-Flu Infections Expands in Missouri,"Seven people in contact with a patient hospitalized with bird flu also developed symptoms, the C.D.C. reported. Some are undergoing further tests."
Science,Acadia Healthcare Says It Faces New Federal Investigations,"Shares of the company, one of the largest chains of for-profit psychiatric hospitals, were down 25 percent at one point."
Science,Risk of Heart Defects Higher in Babies Conceived With I.V.F.,"The birth defects were more likely, but still very uncommon, in infants conceived through certain fertility treatments, a large study found."
Science,F.D.A. Approves a New Antipsychotic Drug,"Available antipsychotic treatments work by blocking dopamine receptors. The new drug, Cobenfy, takes a different approach."
Science,Acadia Hospitals Reach $20 Million Settlement With Justice Dept.,The F.B.I. is also investigating the large chain of psychiatric hospitals for holding patients longer than what is medically necessary.
Science,The Global Threat of Antibiotic Resistance,"Health experts, gathering at the U.N., have begun to shift their focus to try to provide access to basic drugs in countries where preventable deaths from infections occur too frequently."
Science,"A Patchwork of Cannabis Laws Creates Health Risks, Study Finds",A new report calls for public education and closing of legal loopholes to keep the public safe.
Science,A Remote Alaskan Island Is on High Alert for a Rat,"Wildlife experts fear that a rat could disrupt the island’s delicate balance, so they are pulling out all the stops."
Science,Lawmakers Seek Inquiry Into F.D.A. Device Chief’s Potential Conflicts,A top medical device regulator’s work overlapped at times with his wife’s legal representation of clients with business before the agency.
Science,A London Museum’s Evolution Garden Offers a 540-Million-Year Journey,This newly redesigned space at the Natural History Museum in London traces 540 million years of the past while creating an outdoor laboratory for the future.
Science,Study Finds Climate Change Doubled Likelihood of Recent European Floods,Storm Boris dumped record amounts of rain over Central and Eastern Europe this month. A new study found climate change made the deluge more likely.
Science,That Message From Your Doctor? It May Have Been Drafted by A.I.,"Overwhelmed by queries, physicians are turning to artificial intelligence to correspond with patients. Many have no clue that the replies are software-generated."
Science,Punching Octopuses Lead Fish on Hunting Parties,"Octopuses and fish are routinely seen working together on the ocean floor, and now scientists say that the cephalopods are the leaders of the pack."
Science,Was It Really a Hot Zone Summer?,"From Covid to dengue, viral outbreaks seemed to be popping up all over. But maybe Americans are just more attuned to threats now."
Health,Therapy Notes Are Accessible to Patients. Is That a Good Thing?,"Health care systems have been putting therapists’ progress reports online, much to the surprise (and anger) of some patients."
Health,"Widowed and Looking for Love, Like the Golden Bachelorette",“The Golden Bachelorette” offers a glimpse at how dating changes after losing the love of your life. This is what it’s really like.
Health,Drug Overdose Deaths Are Dropping. The Reasons Are Not Perfectly Clear.,The decrease across the country is a major breakthrough in efforts to reverse the effects of fentanyl. Researchers and health officials say there is no easy explanation for the trend.
Health,"Michel Siffre, 85, Dies; Descended Into Caves to Study the Human Mind","He was a pioneer in chronobiology, the study of how our bodies understand the passage of time."
Health,Nasal Flu Vaccine Is Approved for At-Home Use,"The F.D.A. authorized AstraZeneca’s treatment to be given outside a health care setting, although it will still need a prescription."
Health,"Who Is Liv Schmidt, and Why Was She Barred From TikTok?",Liv Schmidt has inspired debates with videos that some believe encourage disordered eating. One social media site tried to remove her.
Arts,Aubrey Plaza Goes for Broke in ‘Megalopolis’ and ‘Agatha All Along’,"Don’t let her deadpan sense of humor fool you. In projects like Francis Ford Coppola’s “Megalopolis,” she puts everything she has on the line."
Arts,"Sean ‘Diddy’ Combs’s White Parties Were Edgy, A-List Affairs. Were They More?","The events helped the music mogul raise his profile. But one woman who worked at them has said in court papers that the parties had a dark side, too."
Arts,"Sean ‘Diddy’ Combs’s Parties, in His Own Words","For decades, Combs and other celebrities have commented on his party lifestyle. Here’s some of what they have publicly said."
Arts,‘S.N.L.’ Recap: Maya Rudolph Returns to Play Kamala Harris,"The 50th season began with several surprise guests and alumni — including Dana Carvey, Jim Gaffigan and Andy Samberg — playing figures in the 2024 election."
Arts,Kamala Harris and Tim Walz Played by Maya Rudolph and Jim Gaffigan on ‘SNL’,"The casting ended months of speculation after President Biden, played on Saturday by Dana Carvey, withdrew from the race. James Austin Johnson continued as Donald Trump."
Arts,Opera Is Still Obsessed With the Suffering of Women,"Two new works, “The Listeners” and “Grounded,” echo the age-old spectacle of female disintegration and show the tension of fitting modern stories into old forms."
Arts,The Forgotten Dealer Who Discovered Picasso and Matisse,A show at the Grey Art Museum re-establishes Berthe Weill as a guiding light of the Parisian avant-garde. Her rediscovery has been led by women.
Arts,"On ‘Downton Abbey,’ Maggie Smith Made an Icy Aristocrat Irresistible","The hit melodrama brought Smith the kind of fame she never wanted, but it is easy to understand why it happened."
Arts,"Laura Donnelly, ‘Hills of California’ Star, Is Not Some Delicate Flower","But she did “burst into tears” reading Jez Butterworth’s rewrite of his new Broadway play, which left her with 10 days “to create an entirely new character.”"
Arts,Thomas Schütte Finally Gets His MoMA Moment,The German artist Thomas Schütte expects blowback when a retrospective of his work opens. Maybe he even enjoys that prospect.
Arts,"New York Film Festival Pitches Its Ever-Expanding, Global Tent","Standout selections include “Nickel Boys,” the Mumbai-set “All We Imagine as Light” and the documentary “Dahomey,” about African repatriation."
Arts,5 Podcasts for Word Nerds,"These shows explore the origin stories of common phrases and terms, the evolution of language and the biases that affect our perceptions of speech."
Arts,‘SNL’ Debut Cast and Crew Look Back on 50 Seasons,"With a new film about the show, and a 50th anniversary season starting, Chevy Chase, Garrett Morris, Jane Curtin, Laraine Newman and others look back."
Arts,"Desi Lydic Wants to Be in Central Park, Listening to Chappell Roan","“I love getting out and about early in the day, getting some fresh air and sunlight and seeing the city,” the “Daily Show” host said of her morning ritual."
Arts,What’s on TV This Week: ‘Real Housewives’ and the Vice-Presidential Debate,The Bravo franchise will air two different premieres. And on Tuesday is the first debate between JD Vance and Tim Walz.
Arts,"Review: ‘The Hills of California,’ Alive With the Sound of Music","In Jez Butterworth’s compelling new play, four girls trained to sing close harmony wind up as acrimonious adults."
Arts,"John Ashton, ‘Beverly Hills Cop’ Actor, Dies at 76",Mr. Ashton was most widely recognized for his role as Sgt. John Taggart in the “Beverly Hills Cop” franchise.
Arts,"‘Days of Our Lives’ Actor, Drake Hogestyn, Dies at 70","Mr. Hogestyn was best known for playing John Black on the daytime soap opera and appeared in more than 4,200 episodes over 38 years."
Arts,Harris to Discuss Race and Police Brutality on Sports Podcast,A nearly hourlong conversation on “All the Smoke” could help Vice President Kamala Harris reach Black men in the closing weeks of her presidential campaign.
Arts,Ta-Nehisi Coates Knows Not Everyone Will Love ‘The Message’,"In “The Message,” Coates grapples with questions about which stories are told, and how, through his visits to Senegal, South Carolina and the West Bank."
Arts,"Molly Recommends Small Takes on Big Ideas, and a Novel of Sisterhood",James Richardson’s aphorisms; Nora Lange’s novel “Us Fools”
Arts,Harris’s Historic Run Could Outpace Hollywood’s Oval Offices,"Black and Asian American women have rarely, if at all, played the U.S. commander in chief in television and film. As Kamala Harris makes her presidential bid, Hollywood lags behind."
Arts,‘SNL’: Here’s What Critics Thought of the First Episode,The late-night institution begins its 50th season on Saturday. Here’s how The New York Times and others covered its debut in 1975.
Arts,Adam Dressner’s Subjects Step Out of His Paintings in Grand Central Show,"Adam Dressner, a lawyer turned portrait artist, began painting eccentric New Yorkers a few years ago. Many of them made an appearance at a recent exhibition."
Arts,"Clarice Rivers, Earthy Muse of Two Artists, Dies at 88","She inspired Niki de Saint Phalle to create the fantastical female avatars she called the Nanas. She also inspired her husband, Larry Rivers."
Arts,Maggie Smith Was Imperious in the Most Delightful Way,"Throughout her career and on “Downton Abbey,” she perfected the role of the commanding Englishwoman with an arrow-sharp wit."
Arts,Chappell Roan Cancels a Pair of Big Shows After Tumultuous Weeks,The pop star said things had “gotten overwhelming” and bowed out of festivals in New York and Maryland after a period in which her politics came under scrutiny.
Arts,National Symphony Orchestra Players Reach Deal After Brief Strike,"The musicians won a raise of about 8 percent over two years after a short work stoppage, the Washington ensemble’s first in 46 years."
Arts,"With Sean ‘Diddy’ Combs in Jail, He Faces Another Lawsuit",The latest lawsuit includes accusations of drugging and coerced sex as recently as this year. Mr. Combs’s lawyers have said the claims are attempts to obtain quick settlements.
Arts,Maggie Smith: A Life in Pictures,"She had a long, award-winning career as a screen and stage actress, finally becoming a household name with her memorable turn in “Downton Abbey.”"
Arts,"Lady Gaga’s ‘Joker,’ and a Tour of Musical Clowning","Clowns, harlequins, jokers and Pierrots have served as the main characters in countless songs over the years, but they’re rarely there to conjure cheap laughs."
Arts,"The Cure’s First Fresh Music in 16 Years, and 9 More New Songs","Hear tracks by Lady Gaga, Rosalía, Stevie Nicks and others."
Arts,"Richard Pettibone, Master of the Artistic Miniature, Dies at 86","He painted tiny reproductions of works by Warhol, Lichtenstein, Duchamp and many others, raising questions about originality and creativity."
Arts,"Review: Roald Dahl Is Antisemitic, but Not a Cartoon Villain, in ‘Giant’","A new play in London portrays the beloved children’s author as a rounded character, while making no apology for his bigotry."
Arts,"Neil King Jr., Who Wrote of a Long Walk of ‘Renewal,’ Dies at 65","His book, “American Ramble,” lyrically recounted a 330-mile trek from Washington, D.C., to New York City while he was in remission from cancer."
Arts,Five Science Fiction Movies to Stream Now,"In this month’s picks, time loops, aliens and ecological collapse."
Arts,Stream Maggie Smith’s Greatest Performances,"In “Downton Abbey,” “A Room With a View” and dozens of other films and television series, she delighted audiences with her portrayal of sharp, tart-tongued and often wryly funny Englishwomen."
Arts,"A Local’s Guide to Chiang Rai, Thailand","Four insiders on where to stay, eat “micro-seasonal” dishes and shop for handmade pottery and textiles."
Arts,‘Titaníque’ Was Her Big Hit. Is ‘Big Gay Jamboree’ Really Her Swan Song?,"Two years after debuting the “Titanic” parody, Marla Mindelle says her new show, with Margot Robbie as a producer, may be her last as an actor."
Arts,Just Stop Oil Activists Sentenced for Attack on Van Gogh Painting,"A judge said he hoped to deter protests when he handed down lengthy terms for the two activists, who dumped soup on the painting in 2022. Later that day, activists did it again."
Arts,Andrew Scott Will Perform One-Man ‘Vanya’ Off Broadway Next Spring,"The Olivier Award-winning revival, in which the actor plays all of the parts, is to begin previews March 11 at the Lucille Lortel Theater."
Arts,Some of America’s Best Art Is in the Yard,"For people who have historically been excluded by museums and galleries, their own properties have became a source of inspiration."
Arts,"Maggie Smith, Grande Dame of Stage and Screen, Dies at 89","She earned an extraordinary array of awards, from Oscars to Emmys to a Tony, but she could still go almost everywhere unrecognized. Then came “Downton Abbey.”"
Arts,Watch a Chaotic Rehearsal in ‘Saturday Night’,"The director Jason Reitman narrates a sequence from his film about the production of the first episode of “Saturday Night Live.” Spoiler alert, making the show wasn’t easy."
Arts,‘Saturday Night’ | Anatomy of a Scene,The director Jason Reitman narrates a sequence from his film about the making of the first episode of “Saturday Night Live.”
Arts,9 New Movies Our Critics Are Talking About This Week,"Whether you’re a casual moviegoer or an avid buff, our reviewers think these films are worth knowing about."
Arts,Rubin Museum’s Tibetan Shrine Will Move to Brooklyn Museum,The collection of art and ritual objects will move to the Brooklyn Museum for six years starting in June after the Rubin closes its building to focus on traveling exhibitions and long-term loans.
Arts,Maisy Stella of ‘My Old Ass’ on Her Rise to Fame,"Maisy Stella stars in “My Old Ass,” a new coming-of-age film. After years as a child actor, she says it was going to high school that helped her prepare."
Arts,Will Ferrell-Harper Steele Documentary Drops on Netflix,"Will Ferrell and Harper Steele, a former “Saturday Night Live” writer, use a road trip to navigate their relationship now that she is out as a trans woman."
Arts,Francis Ford Coppola and ‘Megalopolis’: What to Know,"The controversies surrounding the new epic include accusations of on-set problems, a pulled trailer and more."
Arts,"‘The Bouncer,’ ‘Pearl’ and More Streaming Gems","This month’s under-the-radar streaming suggestions include unexpectedly poignant action flicks, highly stylized horror pictures and documentaries about art thieves and sperm donors."
Arts,Katy Perry’s ‘143’ Is Bad. Her Timing Is Worse.,"The pop singer’s latest LP, “143,” has been gleefully panned, but its musical faults aren’t as remarkable as Perry’s failure to read the current cultural moment."
Arts,Melissa George Brings Cinematic Glamour to a 17th-Century French Manor,"“This is a woman’s home,” the actress says. “If a man walks in, I want him to feel like a guest.”"
Arts,Late Night Roasts New York Mayor Eric Adams Over His Indictment,Jimmy Fallon joked that it’s “always fun when the city mimics the exact plot of a Batman movie.”
Arts,Man Sentenced to Life in Prison in Fatal Shooting of Rapper Young Dolph,"The man, Justin Johnson, was sentenced on Thursday in the fatal 2021 shooting of the rapper who was gunned down outside a Memphis cookie shop in broad daylight."
Arts,"Nick Gravenites, Mainstay of the San Francisco Rock Scene, Dies at 85","A blues devotee from Chicago, he tasted fame in the late 1960s with the Electric Flag, a band that made its debut at Monterey but proved short-lived."
Arts,7 New Books We Recommend This Week,Suggested reading from critics and editors at The New York Times.
Arts,The Stage Combat Is Verbal in These Off Broadway Plays,Belarus Free Theater’s “KS6: Small Forward” and three other shows are reminders that there are many ways to portray conflicts and confrontations onstage.
Arts,An Exclusive Look at the Met’s Reimagined Rockefeller Wing,"With more than 1,800 works from five continents, and new scholarship, refreshed galleries present the arts of Africa, the Ancient Americas and Oceania as three distinct areas."
Arts,Holy Hollywood! Batman Is the First Superhero With a Walk of Fame Star.,"The caped crusader, who debuted in 1939, joins other illustrious figures — including Adam West, the actor who played him on TV."
Economy,The Fed’s Preferred Inflation Gauge Cooled in August,"Inflation is slowing so much that some economists said it could pave the way for another big Fed rate cut, if other data suggest one is warranted."
Economy,"As Strike Looms, Port Operators Ask Regulator to Force Dockworkers to Negotiate",The group that represents port terminal operators said the International Longshoremen’s Association was refusing to negotiate a new contract before a Monday deadline.
Economy,"Trump’s Plans Could Spur Inflation While Slowing Growth, Study Finds",A nonpartisan economic analysis warned that deporting migrants and increasing tariffs would damage the U.S. economy.
Economy,Harris Now Has an Economic Plan. Can It Best Trump’s Promises?,A central question in the final stretch of the election is if Vice President Kamala Harris’s proposals will cohere into an economic argument that can top former President Donald J. Trump’s.
Economy,"U.S. Economy Had Stronger Rebound From Pandemic, G.D.P. Data Shows","Updated figures show that gross domestic product, adjusted for inflation, grew faster in 2021, 2022 and early 2023 than previously reported."
Economy,Harris’s Economic Pitch: Capitalism for the Middle Class,"In a major address in Pittsburgh, the vice president praised business and used technical language to court economy-minded voters skeptical of big government."
Economy,"Trump’s Low-Tax, High-Tariff Strategy Could Clash With Economic Realities",The former president’s efforts to compel companies to remain in the United States had limited success while he was in the White House.
Economy,Harris to More Fully Detail Economic Plans,"With a speech on Wednesday and a lengthy policy document, Vice President Kamala Harris’s campaign is set to lay out her economic vision as voters say they want to know more about her approach."
Economy,An East Coast Port Strike Could Shake the Economy,"Businesses are preparing for a strike by dockworkers on the East and Gulf Coasts, which could begin Oct. 1 if negotiations don’t yield a new contract."
Economy,Boeing Says It Has Made Its ‘Best and Final’ Offer to Striking Workers,"The proposal includes raises of 30 percent over the four-year contract, up from a 25 percent offer, but it’s unclear whether it will satisfy workers."
Economy,What’s Next for Rate Cuts? The Fed Is Watching Jobs and Prices.,A Federal Reserve official predicted quarter point rate cuts if data looked ‘fine’. But he also set out a scenario for a pause — or faster reductions.
Economy,"Interest Rates Fall, but Central Banks Are No Longer in Lock Step","Officials in some countries started cutting rates last year, but others, including those in Europe and the United States, have taken a more cautious approach."
Economy,"After Fed Cuts Rates, Biden Claims Credit for Economy’s Strength","The president said he was not declaring victory over inflation, but marking a pivot point for the recovery from pandemic recession."
Economy,How Inflation and High Interest Rates Have Changed the Economy,"As inflation cools and the Federal Reserve cuts rates, an era of economic upheaval is coming to a close, but not without lingering marks."
Economy,Boeing to Begin Temporary Layoffs Due to Strike,The aerospace giant said it would temporarily lay off tens of thousands of employees to stem losses from a walkout by the machinists’ union.
Economy,"What Trump Has Said About Interest Rates, and Why It Matters","He has suggested that presidents should “have a say” on interest rates, though he later walked the comment back."
Economy,Fed’s Interest Rate Cut Would Cap a Winning Streak for Harris and Biden on Prices,"Improved data on borrowing costs and price growth has buoyed consumers, but it might be coming too late to significantly affect the presidential race."
Economy,Fed Cuts Interest Rates for First Time in Four Years,"Fed officials kicked off rate cuts with a half-point reduction, confident that inflation is cooling and eager to keep the job market strong."
Economy,"How the Fed Cutting Interest Rates Affects Stocks, Banks and More","For corporate America, this week’s expected interest rate cut carries risks along with rewards."
Economy,"How SMIC, China’s Semiconductor Champion, Landed in the Heart of a Tech War","Efforts by the Beijing-backed Semiconductor Manufacturing International Corporation, or SMIC, to break through innovation barriers have landed it in a geopolitical tech battle."
